Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
09/07/2016,BadgerysCreek,7.8,17.8,1.6,NA,NA,WSW,19,SW,S,9,2,88,74,1023.6,1022.5,NA,NA,12.2,14.9,Yes,No
10/07/2016,BadgerysCreek,8.5,18.8,0.4,NA,NA,NE,22,SW,NNE,9,13,100,64,1025.2,1020.6,NA,NA,13.2,17.6,No,No
11/07/2016,BadgerysCreek,9.6,19.9,0,NA,NA,NW,63,N,N,9,26,96,54,1014.6,1010.2,NA,NA,12.4,19.2,No,No
12/07/2016,BadgerysCreek,8.4,20,0,NA,NA,W,56,WNW,NW,17,35,48,32,1010.2,1007.3,NA,NA,15.9,18,No,No
13/07/2016,BadgerysCreek,7,13.6,0,NA,NA,WSW,59,W,W,20,30,44,35,1018.8,1019.6,NA,NA,10.5,12.9,No,No
14/07/2016,BadgerysCreek,0.3,16.7,0,NA,NA,W,39,NNE,WSW,4,13,76,32,1029.7,1025.9,NA,NA,7,16.1,No,No
15/07/2016,BadgerysCreek,-0.5,18.1,0,NA,NA,SW,19,NNE,S,4,4,80,40,1030.5,1027.1,NA,NA,8.8,17,No,No
16/07/2016,BadgerysCreek,1.1,18.9,0,NA,NA,E,17,NA,ENE,0,6,100,59,1033.4,1030.2,NA,NA,7.2,17.6,No,No
17/07/2016,BadgerysCreek,7.2,20.4,0.8,NA,NA,NNE,20,SW,N,6,11,100,65,1031.4,1026.9,NA,NA,13.2,18.5,No,No
18/07/2016,BadgerysCreek,4.2,24.4,0.2,NA,NA,WNW,28,NA,WNW,0,19,100,48,1024.8,1019.7,NA,NA,8.4,23.7,No,No
19/07/2016,BadgerysCreek,8.2,25.2,0,NA,NA,N,17,NNW,N,2,7,100,57,1021.8,1019.2,NA,NA,13,24.1,No,Yes
20/07/2016,BadgerysCreek,13,16.4,19,NA,NA,S,28,SSW,WSW,11,7,100,100,1020.3,1018.7,NA,NA,15.6,15.9,Yes,Yes
21/07/2016,BadgerysCreek,11.7,19.9,13.2,NA,NA,SW,19,SW,SE,9,6,98,76,1020.1,1015.6,NA,NA,15,18.6,Yes,No
22/07/2016,BadgerysCreek,8,25.7,0,NA,NA,NW,57,N,NW,15,31,100,51,1008.6,1001.2,NA,NA,15.1,24.8,No,Yes
23/07/2016,BadgerysCreek,13.1,17.1,3.2,NA,NA,W,65,WNW,W,31,31,45,36,1003.9,1004.2,NA,NA,13.8,16.1,Yes,No
24/07/2016,BadgerysCreek,2.6,14.4,0,NA,NA,NW,28,NNW,WSW,7,17,78,42,1016,1012.3,NA,NA,5.5,13.6,No,No
25/07/2016,BadgerysCreek,1,17,0,NA,NA,WNW,44,WNW,W,24,19,55,41,1012.2,1012,NA,NA,12.6,16.1,No,No
26/07/2016,BadgerysCreek,7.7,19.3,0,NA,NA,WNW,39,S,WNW,6,20,63,34,1014.3,1013,NA,NA,13.4,18.3,No,No
27/07/2016,BadgerysCreek,6.5,18.1,0,NA,NA,WNW,50,N,WSW,15,20,56,43,1012.3,1013.9,NA,NA,15.1,17.1,No,No
28/07/2016,BadgerysCreek,2.3,19.6,0,NA,NA,SW,24,SW,NNW,11,6,68,45,1024.2,1020.6,NA,NA,11.2,18.9,No,No
29/07/2016,BadgerysCreek,1.2,18.5,0,NA,NA,WSW,31,NA,WSW,0,20,81,40,1023.2,1018.1,NA,NA,9.1,18.2,No,No
30/07/2016,BadgerysCreek,2.4,19.3,0,NA,NA,NNE,20,NA,N,0,9,79,52,1023.5,1020,NA,NA,10.3,18.3,No,No
31/07/2016,BadgerysCreek,6.1,20.6,0,NA,NA,S,20,N,SW,4,9,100,42,1018.2,1015.3,NA,NA,9.2,19.9,No,No
01/07/2016,Cobar,5.5,13.4,0,8,NA,WNW,33,WSW,WSW,17,17,81,58,1023.8,1023.8,NA,8,7.9,12.2,No,No
02/07/2016,Cobar,4,13.5,0,2,NA,S,30,SE,S,7,13,75,55,1030,1028.2,4,7,9,13.1,No,No
03/07/2016,Cobar,4,15.1,0,NA,NA,E,19,ESE,E,7,4,67,52,1028.7,1025.2,NA,NA,11.4,14.5,No,No
04/07/2016,Cobar,3,14.6,0.2,NA,NA,N,30,ENE,NNE,13,11,88,59,1019.9,1014.1,8,NA,6.3,14.1,No,Yes
05/07/2016,Cobar,6.3,10.2,1.2,NA,NA,W,43,NW,W,15,20,93,82,1012.3,1012.9,8,8,8.7,8.1,Yes,Yes
06/07/2016,Cobar,7.2,10.9,2.9,NA,NA,W,39,W,W,22,24,87,83,1017.6,1017.2,7,8,7.6,9.6,Yes,No
07/07/2016,Cobar,7.6,13.6,0,NA,NA,SW,31,SW,SW,13,11,84,73,1020.4,1018.8,7,4,9.8,13.2,No,No
08/07/2016,Cobar,8.8,13.8,0,NA,NA,SW,24,W,WSW,11,15,99,74,1021.6,1020.7,8,8,9.5,12.5,No,No
09/07/2016,Cobar,4.2,13.3,0,NA,NA,ESE,17,S,SE,9,7,97,66,1024.8,1022,8,8,8.3,13.3,No,No
10/07/2016,Cobar,4.9,16.8,0.2,NA,NA,NNE,30,NE,NNE,15,17,86,54,1021.8,1017.3,NA,NA,9.6,16.3,No,Yes
11/07/2016,Cobar,9.5,15.7,1.3,11.2,NA,NNE,33,N,NW,7,17,87,63,1014.3,1012,8,NA,11.1,15.4,Yes,No
12/07/2016,Cobar,5.6,14.2,0.6,2.2,NA,WNW,41,NNW,NW,13,22,70,50,1014.7,1014,NA,NA,9.3,13.1,No,No
13/07/2016,Cobar,2.5,11.5,0,1.6,NA,W,33,WSW,SW,17,15,71,46,1026.3,1027.3,NA,1,5.9,11,No,No
14/07/2016,Cobar,0.9,12.7,0,2,NA,SW,28,S,SW,4,15,76,47,1033.6,1030.9,NA,2,6.1,12.4,No,No
15/07/2016,Cobar,1.8,13.3,0,NA,NA,SSE,33,SE,SSE,11,17,65,49,1032.2,1029.3,NA,NA,7.4,12.6,No,No
16/07/2016,Cobar,1.8,16.2,0,3.6,NA,ESE,46,SE,ESE,9,13,82,39,1030.2,1027.2,NA,NA,6.8,16,No,No
17/07/2016,Cobar,6.1,20.2,0,NA,NA,E,26,E,ESE,13,9,81,54,1028.3,1024.6,NA,NA,10.8,20.2,No,No
18/07/2016,Cobar,10.8,23.2,0,3.2,NA,NNE,35,NNE,NNE,20,13,76,54,1025,1021.4,NA,NA,15.4,22.4,No,No
19/07/2016,Cobar,14.1,20.8,0,3,NA,NNE,33,ENE,NE,9,7,82,89,1022.3,1019.9,8,8,17.6,19.5,No,Yes
20/07/2016,Cobar,16.8,18.5,19.8,0.8,NA,E,28,NNW,ENE,13,11,98,90,1019.2,1018.4,7,8,18.1,17.6,Yes,Yes
21/07/2016,Cobar,11.7,22.1,6.4,0.6,NA,E,22,ENE,WNW,7,9,93,68,1018.9,1015.7,1,NA,15.4,21.7,Yes,No
22/07/2016,Cobar,14.3,23.9,0.2,2.4,NA,W,57,NNW,NW,20,28,97,67,1012,1006.2,8,1,17.3,23.6,No,No
23/07/2016,Cobar,8.9,13.8,0,5.2,NA,W,46,W,WSW,24,20,64,62,1013.8,1014.6,NA,8,10.3,12.2,No,No
24/07/2016,Cobar,4.9,14.8,0,2.2,NA,NNW,41,NE,NNW,13,24,83,56,1017.1,1013.2,5,8,7.9,14.4,No,No
25/07/2016,Cobar,3.3,15,0,1.8,NA,WSW,31,W,NW,15,17,67,57,1019.8,1017.9,NA,1,8.6,14.2,No,No
26/07/2016,Cobar,3.9,15.7,0,2,NA,NW,30,W,NW,6,17,71,60,1020.8,1016.8,7,8,9.4,13.9,No,No
27/07/2016,Cobar,8.1,15.1,0,1.6,NA,SW,35,W,WSW,19,19,67,47,1019.8,1020.9,2,1,11.2,14.2,No,No
28/07/2016,Cobar,3.1,14.3,0,1.6,NA,SSE,28,SSW,SSW,9,13,83,55,1029.6,1026.5,NA,NA,7.4,14.2,No,No
29/07/2016,Cobar,2.6,14.5,0,2.4,NA,WSW,26,SSE,SSW,9,9,76,55,1027.7,1023.4,NA,NA,7.9,13.8,No,No
30/07/2016,Cobar,3.3,15.8,0,2.4,NA,ENE,17,NA,NNW,0,6,78,57,1024.9,1020.8,NA,NA,8.1,15.3,No,No
31/07/2016,Cobar,5.2,18.9,0,1.6,NA,NNE,20,N,WNW,11,7,78,41,1021.3,1018.4,NA,NA,10.5,18.7,No,No
01/07/2016,CoffsHarbour,3.8,19.8,0,NA,NA,SW,28,WNW,NNE,7,17,54,44,1018.4,1015.4,NA,NA,15.9,19.2,No,No
02/07/2016,CoffsHarbour,2.9,18.3,0,NA,NA,SSW,30,WSW,SE,7,13,64,49,1025,1023.1,NA,NA,12.8,17.4,No,No
03/07/2016,CoffsHarbour,4,20.5,0,NA,NA,NNE,31,WNW,NNE,6,20,81,55,1027.2,1022.7,NA,NA,12.6,19.2,No,No
04/07/2016,CoffsHarbour,6.3,20.8,0,NA,NA,N,35,WNW,N,17,15,61,52,1022.8,1018.3,NA,8,15.8,19,No,Yes
05/07/2016,CoffsHarbour,11.4,19.7,9,NA,NA,W,43,NW,NNE,11,17,93,72,1013.5,1008.7,4,NA,14.5,19.3,Yes,No
06/07/2016,CoffsHarbour,5.4,18.3,0.4,NA,NA,WNW,31,WSW,E,9,11,53,44,1011.1,1007.1,NA,NA,13.5,17.3,No,No
07/07/2016,CoffsHarbour,5.4,22.5,0,NA,NA,SSW,48,SW,NA,19,NA,53,54,1012.4,NA,1,NA,18.2,21.8,No,No
08/07/2016,CoffsHarbour,14.1,20.9,0,NA,NA,S,50,SSW,S,9,35,69,79,1017.6,1015.7,NA,8,17.2,17.3,No,No
09/07/2016,CoffsHarbour,8.1,19.7,1,NA,NA,SSW,41,SW,S,20,26,65,56,1021.2,1019.9,NA,5,15.5,19.4,No,No
10/07/2016,CoffsHarbour,9.3,19.1,0.2,NA,NA,SW,28,SW,SSE,19,15,68,76,1024.7,1021.6,8,3,15.2,17.9,No,No
11/07/2016,CoffsHarbour,11.3,20.3,0.1,NA,NA,N,37,N,NNE,19,13,65,64,1019.3,1015.8,7,8,18.4,19.7,No,No
12/07/2016,CoffsHarbour,11.9,22.6,0,NA,NA,WNW,50,NNW,NNE,19,17,63,69,1013.9,1010.3,7,8,19.5,19.8,No,No
13/07/2016,CoffsHarbour,10.4,16.7,0,NA,NA,WNW,35,WNW,NNE,2,7,75,48,1020.3,1020.1,6,7,12.6,16.2,No,No
14/07/2016,CoffsHarbour,8.8,14.8,0,NA,NA,WSW,28,SW,SSE,13,4,51,37,1030.6,1027.3,1,NA,11.1,14.4,No,No
15/07/2016,CoffsHarbour,3.1,17.2,0,NA,NA,SW,24,WSW,SSE,7,13,87,58,1030.4,1027.3,NA,NA,8.6,16.3,No,No
16/07/2016,CoffsHarbour,7.1,18.4,0,NA,NA,WSW,30,WSW,SSW,20,20,70,69,1030.9,1028.6,NA,6,14.1,17.6,No,Yes
17/07/2016,CoffsHarbour,13.5,20.2,3.2,NA,NA,WSW,26,WSW,S,15,11,94,70,1030.1,1027,8,8,15.2,19.4,Yes,No
18/07/2016,CoffsHarbour,7.9,22.7,0.1,NA,NA,NNE,39,SW,NNE,2,28,90,72,1027.3,1023.1,NA,NA,15.4,20.9,No,No
19/07/2016,CoffsHarbour,10.6,23,0,NA,NA,NNW,26,NA,ENE,0,9,71,61,1022.5,1020.9,NA,NA,19.7,22.3,No,No
20/07/2016,CoffsHarbour,13,25.1,0,NA,NA,NNE,41,NW,NNE,11,26,75,81,1020.5,1016,8,7,19.6,20.9,No,Yes
21/07/2016,CoffsHarbour,16.1,18.8,2.8,NA,NA,SW,22,WSW,SW,13,13,89,89,1019.3,1016.2,8,8,17.1,17.3,Yes,Yes
22/07/2016,CoffsHarbour,10,26.3,5.8,NA,NA,N,33,SW,N,9,20,84,58,1014.2,1008,NA,NA,18.8,26.1,Yes,No
23/07/2016,CoffsHarbour,14.4,27.9,0.1,NA,NA,WNW,63,NNW,SSW,11,17,65,25,1004.2,1004.5,NA,NA,23.8,25.3,No,No
24/07/2016,CoffsHarbour,9.5,15.6,0,NA,NA,W,19,W,N,9,13,57,50,1017.5,1013.3,8,8,13.4,14.5,No,No
25/07/2016,CoffsHarbour,3.9,18.7,0,NA,NA,N,31,NNW,NNE,7,19,62,41,1017,1014.8,NA,NA,13.7,17.8,No,No
26/07/2016,CoffsHarbour,1.6,20,0,NA,NA,NE,31,NNW,ENE,7,19,57,57,1018.5,1015.4,NA,NA,14.1,17.7,No,No
27/07/2016,CoffsHarbour,8,19.1,0,NA,NA,SE,19,W,ESE,2,9,70,41,1017.4,1014.6,2,NA,13.8,18.9,No,No
28/07/2016,CoffsHarbour,2.9,18.2,0,NA,NA,SSE,22,NA,ESE,0,11,67,42,1024.9,1022.1,NA,NA,13.2,17.3,No,No
29/07/2016,CoffsHarbour,2.5,19.6,0,NA,NA,NNE,30,WNW,NE,4,19,74,58,1023.4,1018.3,NA,NA,13.9,18.9,No,No
30/07/2016,CoffsHarbour,4.3,19,0,NA,NA,SW,31,SW,S,22,17,60,47,1022.6,1019.8,NA,NA,15.6,18.4,No,No
31/07/2016,CoffsHarbour,6.6,21,0,NA,NA,NW,20,SW,ESE,11,13,66,48,1019.5,1015.6,NA,NA,15.9,20.6,No,No
01/07/2016,Moree,1.8,15.9,0,1.8,NA,WSW,39,WNW,SW,9,26,76,48,1022.5,1021.3,NA,NA,9.1,15.3,No,No
02/07/2016,Moree,1.3,14.8,0,NA,NA,SW,35,SSW,SW,9,22,84,53,1027.7,1025.5,NA,NA,6.8,14.5,No,No
03/07/2016,Moree,-1.2,17.4,0,NA,NA,E,19,ESE,WNW,11,7,86,46,1028,1024,NA,NA,6.6,16.7,No,No
04/07/2016,Moree,3,21.2,0,6.6,NA,NNE,44,ENE,NNE,20,20,82,53,1022.2,1016.7,8,8,9.7,21,No,Yes
05/07/2016,Moree,9.7,15.1,4,2.8,NA,W,39,W,WNW,26,28,83,64,1015,1013.9,7,8,14.3,13.8,Yes,No
06/07/2016,Moree,4.7,13.4,0,1.2,NA,WNW,44,W,W,26,30,78,61,1018.3,1015.8,NA,8,9,12.5,No,No
07/07/2016,Moree,8.9,14.1,0,NA,NA,WSW,35,SW,WSW,24,17,85,71,1018.9,1017.8,8,8,10.4,13.5,No,No
08/07/2016,Moree,8.8,17.8,0,NA,NA,SW,28,WSW,WSW,9,15,84,62,1020.9,1019,5,8,11.9,17,No,No
09/07/2016,Moree,4.9,18.2,0.2,NA,NA,WSW,20,SE,SSW,2,11,96,51,1023.5,1020.7,8,5,7.1,17.7,No,No
10/07/2016,Moree,5.2,19.7,0,NA,NA,NNE,44,ENE,N,19,19,78,44,1023.8,1020,NA,NA,11.9,19.3,No,No
11/07/2016,Moree,8.8,21.1,0,NA,NA,NNE,41,NNE,N,30,20,74,56,1020.2,1015.7,7,2,15.2,20.7,No,No
12/07/2016,Moree,14.2,17.6,0,NA,NA,WSW,31,N,W,17,22,79,49,1017.3,1016.9,8,7,16.4,16.3,No,No
13/07/2016,Moree,8.3,13.4,0,NA,NA,SW,43,SW,SW,33,28,64,34,1026,1025.4,NA,3,10,12.6,No,No
14/07/2016,Moree,5.4,11.8,0,NA,NA,S,35,SSW,SW,15,20,64,45,1031,1028.9,3,4,7.7,11.5,No,No
15/07/2016,Moree,-0.9,15.2,0,NA,NA,SW,22,S,SSE,6,9,71,26,1029.8,1026.7,NA,NA,6.5,15.1,No,No
16/07/2016,Moree,6.5,17.8,0,NA,NA,ESE,35,SE,ESE,17,15,49,51,1029.1,1025.8,8,8,10.9,17.3,No,No
17/07/2016,Moree,8.1,23.4,0,NA,NA,ESE,33,ESE,SE,13,7,70,48,1027.4,1024.2,6,5,14.5,23.3,No,No
18/07/2016,Moree,9.6,23.9,0,28.6,NA,NE,35,E,NE,19,9,69,49,1027.2,1023.1,NA,NA,16.2,23.8,No,No
19/07/2016,Moree,11.3,24.4,0,2.6,NA,NNE,26,E,N,11,9,80,55,1025.3,1021,2,NA,17.6,24,No,No
20/07/2016,Moree,15.2,25.2,0,2.8,NA,NNW,33,NNE,NNW,19,15,74,56,1021.9,1018.1,7,8,19.6,24.6,No,Yes
21/07/2016,Moree,17.6,22.8,10.2,3.8,NA,WNW,28,N,NW,13,17,93,77,1019.2,1016.5,6,3,18.3,22.3,Yes,No
22/07/2016,Moree,15.3,25,0.2,1.6,NA,NNW,31,NNE,NW,19,20,91,64,1016.1,1010.9,8,7,17.3,24.3,No,No
23/07/2016,Moree,15.2,18,0,NA,NA,SW,50,SW,WSW,30,28,60,30,1013.2,1012.8,7,NA,15.5,17.2,No,No
24/07/2016,Moree,5.2,12.7,0,NA,NA,S,15,NE,NW,6,9,82,58,1018.6,1016.1,7,7,9,12.4,No,No
25/07/2016,Moree,5,16.4,0,8.2,NA,SW,31,WSW,WSW,17,15,73,33,1020.5,1018.4,NA,NA,10.4,15.9,No,No
26/07/2016,Moree,1,16.5,0,2.8,NA,SW,28,NE,NW,11,9,79,42,1022.2,1018.2,NA,1,7.9,15.8,No,No
27/07/2016,Moree,3.5,19.2,0,2.6,NA,W,44,NNW,WSW,9,30,68,40,1021.5,1019.5,NA,1,11,17.8,No,No
28/07/2016,Moree,2.3,17.1,0,3.4,NA,WSW,33,SW,SW,13,20,81,46,1026.9,1024,NA,NA,8.9,16.2,No,No
29/07/2016,Moree,0.8,16.3,0,3.4,NA,SW,28,W,WSW,6,19,82,43,1025.6,1022.3,NA,NA,6.9,15.3,No,No
30/07/2016,Moree,0.2,16.2,0,NA,NA,NNE,17,NE,WSW,11,9,97,49,1023.4,1020,8,NA,3.8,15.2,No,No
31/07/2016,Moree,0.9,19,0,NA,NA,SW,28,ENE,SW,11,20,80,39,1022.4,1019.1,NA,NA,8.4,17.8,No,No
01/07/2016,Newcastle,7.2,17,0,NA,NA,NA,NA,NW,NA,19,NA,60,NA,NA,NA,1,NA,12.5,NA,No,No
02/07/2016,Newcastle,6.5,NA,0,NA,NA,NA,NA,NW,NA,19,NA,68,NA,NA,NA,0,NA,10,NA,No,No
03/07/2016,Newcastle,NA,17.2,0,NA,NA,NA,NA,NW,NA,19,NA,72,NA,NA,NA,0,NA,10,NA,No,No
04/07/2016,Newcastle,4.6,17.2,0,NA,NA,NA,NA,NW,NA,9,NA,90,NA,NA,NA,4,NA,7.5,NA,No,Yes
05/07/2016,Newcastle,NA,19.2,2.6,NA,NA,NA,NA,NA,NA,0,NA,96,NA,NA,NA,8,NA,10.8,NA,Yes,No
06/07/2016,Newcastle,10.6,14.8,0,NA,NA,NA,NA,NW,NA,50,NA,64,NA,NA,NA,3,NA,11.8,NA,No,Yes
07/07/2016,Newcastle,12,17.2,2.8,NA,NA,NA,NA,SW,NA,19,NA,96,NA,NA,NA,7,NA,14,NA,Yes,Yes
08/07/2016,Newcastle,13,14.5,9,NA,NA,NA,NA,NA,NA,0,NA,97,NA,NA,NA,8,NA,13.2,NA,Yes,Yes
09/07/2016,Newcastle,11,18.2,6.2,NA,NA,NA,NA,NA,NA,0,NA,85,NA,NA,NA,1,NA,13.5,NA,Yes,No
10/07/2016,Newcastle,8.2,18.7,0.2,NA,NA,NA,NA,NA,NA,0,NA,94,NA,NA,NA,2,NA,10.9,NA,No,No
11/07/2016,Newcastle,11.4,22.3,0,NA,NA,NA,NA,NW,NA,9,NA,99,NA,NA,NA,4,NA,11.5,NA,No,No
12/07/2016,Newcastle,NA,19.5,0.2,NA,NA,NA,NA,NW,NA,28,NA,69,NA,NA,NA,6,NA,18,NA,No,No
13/07/2016,Newcastle,10.8,15.5,0,NA,NA,NA,NA,NW,NA,74,NA,45,NA,NA,NA,0,NA,11.5,NA,No,No
14/07/2016,Newcastle,5.5,15.3,0,NA,NA,NA,NA,NW,NA,19,NA,61,NA,NA,NA,5,NA,8.4,NA,No,No
15/07/2016,Newcastle,5,16.8,0,NA,NA,NA,NA,N,NA,9,NA,71,NA,NA,NA,1,NA,7.6,NA,No,No
16/07/2016,Newcastle,7.3,18.2,0,NA,NA,NA,NA,NA,NA,0,NA,83,NA,NA,NA,7,NA,9.8,NA,No,Yes
17/07/2016,Newcastle,NA,18,4.8,NA,NA,NA,NA,NA,NA,0,NA,100,NA,NA,NA,8,NA,12.2,NA,Yes,No
18/07/2016,Newcastle,12,23.6,0.2,NA,NA,NA,NA,NA,NA,0,NA,97,NA,NA,NA,8,NA,13.5,NA,No,No
19/07/2016,Newcastle,13.5,25,0,NA,NA,NA,NA,NA,NA,0,NA,93,NA,NA,NA,6,NA,15.5,NA,No,Yes
20/07/2016,Newcastle,NA,18.7,19,NA,NA,NA,NA,NA,NA,0,NA,97,NA,NA,NA,8,NA,17.5,NA,Yes,Yes
21/07/2016,Newcastle,14,18.2,10.4,NA,NA,NA,NA,NA,NA,0,NA,93,NA,NA,NA,8,NA,16,NA,Yes,No
22/07/2016,Newcastle,13.4,25.5,0,NA,NA,NA,NA,NW,NA,9,NA,90,NA,NA,NA,1,NA,16,NA,No,No
23/07/2016,Newcastle,17,18.2,0,NA,NA,NA,NA,SW,NA,56,NA,30,NA,NA,NA,1,NA,17,NA,No,No
24/07/2016,Newcastle,6.7,12.9,0,NA,NA,NA,NA,NA,NA,0,NA,57,NA,NA,NA,8,NA,9.3,NA,No,No
25/07/2016,Newcastle,9.8,17.2,0,NA,NA,NA,NA,N,NA,41,NA,56,NA,NA,NA,1,NA,12.9,NA,No,No
